region,region_id,Live,Dead,CFR,period
Galgaduud,R1720056,0,0,0,Week 28
Gedo,R1720057,0,0,0,Week 28
Hiraan,R1720058,4,0,0,Week 28
Juba Hoose,R1720059,107,0,0,Week 28
Shabelle Hoose,R1720060,69,0,0,Week 28
Shabelle Dhexe,R1720062,286,1,0.3,Week 28
Mudug,R1720063,185,0,0,Week 28
Nugaal,R1720064,39,0,0,Week 28
Sanaag,R1720065,57,0,0,Week 28
Sool,R1720066,135,0,0,Week 28
Ayn,R1720067,21,0,0,Week 28
Bakool,R1720052,0,0,0,Week 29
Banadir,R1720053,104,4,3.8,Week 29
Karkaar,R1720054,38,0,0,Week 29
Bay,R1720055,0,0,0,Week 29
Galgaduud,R1720056,212,0,0,Week 29
Gedo,R1720057,0,0,0,Week 29
Hiraan,R1720058,1,0,0,Week 29
Juba Hoose,R1720059,137,0,0,Week 29
Shabelle Hoose,R1720060,39,0,0,Week 29
Shabelle Dhexe,R1720062,13,0,0,Week 29
Mudug,R1720063,99,0,0,Week 29
Nugaal,R1720064,27,0,0,Week 29
Sanaag,R1720065,70,0,0,Week 29
Sool,R1720066,102,0,0,Week 29
Ayn,R1720067,22,0,0,Week 29
