site_name,site_id,latitude,longitude,geometry,region,district,type_of_site,visit_date,dfid_partner,ngo
Primary Healthy Unit,tpm049,3.956328496,41.89405177,Point,Gedo,Bulla Hawa ,Fixed,5/8/2017,SNS+,Trocaire
Surgudud Phu,tpm050,4.094517287,42.02683115,Point,Gedo,Dolow,Mobile headquarters,5/8/2017,SNS+,Trocaire
Huluul,tpm051,9.973754224,46.69859375,Point,Sanaag,Ceel Afweyn,Fixed,5/8/2017,UNICEF,HEAL 
Hospital,tpm052,4.735189131,45.20699398,Point,Hiraan,Belet Weyne,Fixed,5/8/2017,UNICEF,WARDI
Yufle Mch,tpm053,10.37320808,47.19485551,Point,Sanaag,Ceerigaabo,Fixed,6/8/2017,UNICEF,SRCS
Sadhumay Phu,tpm054,4.111421658,42.26782319,Point,Gedo,Dolow,Mobile headquarters,6/8/2017,SNS+,Trocaire
Haroo,tpm055,3.845256195,41.83816804,Point,Gedo,Bulla Hawa ,Mobile headquarters,6/8/2017,SNS+,Trocaire
Sci Office In Mataban,tpm056,5.236419209,45.68346621,Point,Hiraan,Belet Weyne,Mobile headquarters,6/8/2017,UNICEF,SCI
Cagaaran,tpm057,7.05741351,47.49030434,Point,Mudug,Gaalkacyo,Fixed,6/8/2017,UNICEF,MOH
Berbera Stabilization Center,tpm058,10.43847508,45.01350915,Point,Sahil,Berbera,Fixed,6/8/2017,UNICEF,HPA
Dilla MCH,tpm059,9.77687156,43.35056034,Point,Awdal,Baki,Fixed,5/8/2017,UNICEF,SRCS
Dila Mhc Mobile Team,tpm060,9.77703446,43.35070927,Point,Awdal,Baki,Mobile headquarters,6/8/2017,UNICEF,SRCS
"Horumar Mch, Galkayo",tpm061,6.761330942,47.44286141,Point,Mudug,Gaalkacyo,Fixed,7/8/2017,UNICEF,SDRO
Gedweine Health Center,tpm062,4.028398111,42.29716966,Point,Gedo,Luuq,Fixed,7/8/2017,SNS+,Trocaire
Sharmadaq,tpm063,3.835923288,41.89452593,Point,Gedo,Bulla Hawa ,Mobile headquarters,7/8/2017,SNS+,Trocaire
Mataban Mch,tpm064,5.199422421,45.52604034,Point,Hiraan,Belet Weyne,Fixed,7/8/2017,UNICEF,HIRDO
Cerigabo Sc,tpm065,10.62615665,47.36550806,Point,Sanaag,Ceerigaabo,Fixed,7/8/2017,UNICEF,MOH SL
Ba'Aadweyn,tpm066,7.19253327,47.52196685,Point,Mudug,Gaalkacyo,Fixed,7/8/2017,UNICEF,SRCS
Murcanyo Healthpost,tpm067,11.69168024,50.45789695,Point,Bari,Allula,Fixed,7/8/2017,SNS+,SCI
Sheikh Osman Health Centar,tpm068,9.948346058,43.17061318,Point,Awdal,Borama,Fixed,7/8/2017,UNICEF,SCI
Borama Central Health Center,tpm069,9.935802182,43.18164862,Point,Awdal,Borama,Fixed,8/8/2017,UNICEF,SCI
Horumar Tsfp,tpm070,6.764461103,47.43340528,Point,Mudug,Gaalkacyo,Mobile headquarters,8/8/2017,UNICEF,SDRO
Bulo Kontrol Bsfp,tpm071,6.760465077,47.42717081,Point,Mudug,Gaalkacyo,Fixed,8/8/2017,UNICEF,SDRO
Koreey Phu,tpm072,4.071371038,42.35476959,Point,Gedo,Dolow,Mobile headquarters,8/8/2017,SNS+,Trocaire
Barwaaqo Mch,tpm073,10.62262159,47.36771648,Point,Sanaag,Ceerigaabo,Fixed,8/8/2017,UNICEF,SRCS
Qurac Bilaash,tpm074,3.957212778,41.91382967,Point,Gedo,Bulla Hawa ,Mobile headquarters,8/8/2017,SNS+,Trocaire
Jaamalaye Mch ,tpm075,10.44131373,45.02329723,Point,Sahil,Berbera,Fixed,8/8/2017,UNICEF,HPA
Shed Dheer Hc,tpm076,9.928779855,43.17926937,Point,Awdal,Borama,Fixed,9/8/2017,UNICEF,SCI
Galdogob,tpm077,7.03719177,47.02855998,Point,Mudug,Gaalkacyo,Fixed,9/8/2017,UNICEF,SRCS
Luuq Stabilzation Center,tpm078,3.800238348,42.54454192,Point,Gedo,Luuq,Fixed,10/8/2017,SNS+,Trocaire
Maydh Mch,tpm079,10.80041307,47.30479309,Point,Sanaag,Ceerigaabo,Fixed,10/8/2017,UNICEF,SRCS
Malmaley Primary Health Unit,tpm080,3.892273155,41.93394617,Point,Gedo,Bulla Hawa ,Mobile headquarters,10/8/2017,SNS+,Trocaire
Akara Health Center,tpm081,3.786116014,42.54824068,Point,Gedo,Luuq,Fixed,12/8/2017,SNS+,Trocaire
Bandiradley Mch,tpm082,6.476172692,46.96368529,Point,Mudug,Gaalkacyo,Fixed,12/8/2017,UNICEF,CESVI
Hudley,tpm083,3.997023896,41.98370709,Point,Gedo,Bulla Hawa ,Mobile headquarters,12/8/2017,SNS+,Trocaire
Hurdiyo Mch,tpm084,10.5645952,51.1332523,Point,Bari,Hafun,Fixed,10/8/2017,SNS+,SCI
Xafuun Referral Hospital,tpm085,10.41819602,51.27327684,Point,Bari,Hafun,Fixed,13/08/2017,SNS+,SCI
Berbera Central,tpm086,10.4419377,45.01086896,Point,Sahil,Berbera,Fixed,7/8/2017,UNICEF,HPA
Kulmiye Mch Hq,tpm087,10.61779715,47.37253126,Point,Sanaag,Ceerigaabo,Mobile headquarters,14/08/2017,UNICEF,SRCS
Kulmiye Mch,tpm088,10.61802974,47.37218913,Point,Sanaag,Ceerigaabo,Fixed,13/08/2017,UNICEF,SRCS
Laas Iidle Hc,tpm089,10.17558724,45.98711502,Point,Sahil,Berbera,Fixed,9/8/2017,UNICEF,HPA
Laso Dawaco Mch,tpm090,10.05226215,44.98209898,Point,Sahil,Berbera,Fixed,13/08/2017,UNICEF,SRCS
Bursalax Hc,tpm091,7.17658597,47.24403819,Point,Mudug,Galdogob,Fixed,12/8/2017,UNICEF,MOH
Sc Borama Hospital,tpm092,9.936540475,43.17944386,Point,Awdal,Borama,Fixed,10/8/2017,UNICEF,SCI
Bulahaar Health Centre,tpm093,10.38348227,44.40427115,Point,Sahil,Berbera,Fixed,10/8/2017,UNICEF,HPA
Suuqsade Mch,tpm094,9.942455929,45.33166286,Point,Sahil,Sheikh,Fixed,15/08/2017,UNICEF,HPA
Abdaal Mch,tpm095,9.95416311,44.6971623,Point,Sahil,Berbera,Fixed,12/8/2017,UNICEF,HPA
Shifo,tpm096,9.931441415,43.18483935,Point,Awdal,Borama,Fixed,13/08/2017,UNICEF,SCI
Beyra Hc,tpm097,6.95133977,47.31770314,Point,Mudug,Gaalkacyo,Fixed,13/08/2017,UNICEF,MOH
Doonyaale Hc,tpm098,6.77091481,47.41207132,Point,Mudug,Gaalkacyo,Fixed,14/08/2017,UNICEF,MOH
Bandar Bayla Health Referral  Centre,tpm099,9.4932283,50.8131045,Point,Bari,Banderbeyla,Fixed,15/08/2017,SNS+,SCI
Qorgab Hc,tpm100,9.933825824,43.19499113,Point,Awdal,Borama,Fixed,12/8/2017,UNICEF,SCI
Baki MCH,tpm101,10.01287768,43.36772317,Point,Awdal,Baki,Fixed,14/08/2017,UNICEF,WVI
Quljed Hc,tpm102,10.08951454,43.01098336,Point,Awdal,Borama,Fixed,15/08/2017,UNICEF,SCI
Dogob Village,tpm103,3.796959138,42.51997397,Point,Gedo,Luuq,Mobile headquarters,16/08/2017,SNS+,Trocaire
Galkacyo North Central Hc,tpm104,6.77164385,47.42834559,Point,Mudug,Gaalkacyo,Fixed,15/08/2017,UNICEF,MOH
Halaboqad Hc,tpm105,6.85086636,47.41306319,Point,Mudug,Gaalkacyo,Fixed,16/08/2017,UNICEF,SRCS
Boon Hc,tpm106,10.19465236,43.08788285,Point,Awdal,Borama,Fixed,17/08/2017,UNICEF,SCI
Docol Mch/Phc,tpm107,6.434551731,47.48843644,Point,Mudug,Gaalkacyo,Fixed,13/08/2017,UNICEF,CESVI
Wargalo Mch/Phc,tpm108,6.265845421,47.52035264,Point,Mudug,Galkacyo,Fixed,14/08/2017,UNICEF,CESVI
Ceel Guula Mch/Phc,tpm109,6.013735774,47.85131623,Point,Mudug,Hobyo,Fixed,14/08/2017,UNICEF,Mercy USA
Bajelo Mch/Phc,tpm110,5.7898468,47.70563566,Point,Mudug,Hobyo,Fixed,15/08/2017,UNICEF,Mercy USA
Sdra Office In Galkacyo,tpm111,6.77257136,47.42330706,Point,Mudug,Gaalkacyo,Mobile headquarters,17/08/2017,UNICEF,SDRA
Go'Da Wayn Mch,tpm112,9.787876019,44.90681976,Point,Sahil,Sheikh,Fixed,17/08/2017,UNICEF,HPA
Gudmo Biyo Cas Mch,tpm113,10.58806315,46.95534508,Point,Sanaag,Ceerigaabo,Fixed,16/08/2017,UNICEF,SRCS
Ceel Afweyn Mch,tpm114,9.925118837,47.21729315,Point,Sanaag,Ceel Afweyn,Fixed,19/08/2017,UNICEF,SRCS
Dhuudo Health Center,tpm115,9.322087965,50.2082138,Point,Bari,Banderbeyla,Fixed,17/08/2017,SNS+,SCI
Wisil Phc,tpm116,5.425990735,48.12859535,Point,Mudug,Hobyo,Fixed,16/08/2017,UNICEF,Mercy USA
Dhudhub Healthpost,tpm117,9.228565497,49.91877303,Point,Bari,Banderbeyla,Fixed,19/08/2017,SNS+,SCI
Bacaadweyne Phc,tpm118,5.324849265,47.90974193,Point,Mudug,Hobyo,Fixed,17/08/2017,UNICEF,Mercy USA
Srcs Balibusle Hc,tpm119,7.09381544,48.15886194,Point,Mudug,Jariiban,Fixed,21/08/2017,UNICEF,SRCS
Jariiban Hc,tpm120,7.21386943,48.85254809,Point,Mudug,Jariiban,Fixed,22/08/2017,UNICEF,SCRS
Xariirad Mch,tpm121,10.32634443,42.83816846,Point,Awdal,Zeylac,Fixed,19/08/2017,UNICEF,SRCS
Xariirad Mobile Team,tpm122,10.32635485,42.83790595,Point,Awdal,Zeylac,Mobile headquarters,20/08/2017,UNICEF,SRCS
Abdiqadir Mch,tpm123,10.50975161,42.89175692,Point,Awdal,Zeylac,Fixed,21/08/2017,UNICEF,SRCS
Fiqi Adan Mch,tpm124,10.36933018,43.19143168,Point,Awdal,Zeylac,Fixed,22/08/2017,UNICEF,SRCS
Jidhi Mch,tpm125,10.62058985,43.07087351,Point,Awdal,Zeylac,Fixed,23/08/2017,UNICEF,SRCS
Geerisa Mch,tpm126,10.60699744,43.43447701,Point,Awdal,Lughaye,Fixed,24/08/2017,UNICEF,WVI
Malkariyey,tpm127,3.977354178,41.91310319,Point,Gedo,Bulla Hawa ,Mobile headquarters,13/08/2017,SNS+,Trocaire
Gawaan Mch/Phc,tpm128,5.310633901,48.29817594,Point,Mudug,Hobyo,Fixed,26/08/2017,UNICEF,Mercy USA
Ceel Huur Mch/Phc,tpm129,5.001297952,48.26315919,Point,Mudug,Xarardheere,Fixed,22/08/2017,UNICEF,DEH
Ceel Dibir Mch/Phc,tpm130,5.886964867,48.34973572,Point,Mudug,Hobyo,Fixed,31/08/2017,UNICEF,Mercy USA
Qararow Mch/Phc,tpm131,5.228203283,48.25187409,Point,Mudug,Hobyo,Fixed,27/08/2017,UNICEF,Mercy USA
Hero Dhagahley Mch/Phc,tpm132,5.576623353,48.23978699,Point,Mudug,Hobyo,Fixed,28/08/2017,UNICEF,Mercy USA
Wisil Town Mch,tpm133,5.425922018,48.12871356,Point,Mudug,Hobyo,Mobile headquarters,29/08/2017,UNICEF,Mercy USA
Geerisa Mobile Team,tpm134,10.60706003,43.43424727,Point,Awdal,Lughaye,Mobile headquarters,24/08/2017,UNICEF,WVI
Lughaya Mch,tpm135,10.68264914,43.94122096,Point,Awdal,Lughaye,Fixed,29/08/2017,UNICEF,WVI
Fadhi Xun Mch,tpm136,10.2869453,43.29464299,Point,Awdal,Borama,Fixed,30/08/2017,UNICEF,WVI
Gargaara Mch,tpm137,10.31116762,43.80532217,Point,Awdal,Lughaye,Fixed,31/08/2017,UNICEF,WVI
Alixaydh Mch,tpm138,10.04294457,43.78459223,Point,Awdal,Baki,Fixed,5/9/2017,UNICEF,WVI
"Srcs Mch, Horumar Village.",tpm139,6.765669589,47.43508411,Point,Mudug,Gaalkacyo,Fixed,9/9/2017,UNICEF,SRCS
Baki,tpm140,10.01274489,43.36745768,Point,Awdal,Baki,Mobile headquarters,16/08/2017,UNICEF,WVI
Hobyo Town Mch/Phc,tpm141,5.350389078,48.52496788,Point,Mudug,Hobyo,Fixed,24/08/2017,UNICEF,Mercy USA
Garbo Dadar Mch,tpm142,10.23850628,43.6236838,Point,Awdal,Lughaye,Fixed,4/9/2017,UNICEF,WVI
Sci Borama Office,tpm143,9.944864929,43.17745177,Point,Awdal,Borama,Mobile headquarters,7/9/2017,UNICEF,SCI
Camara Fdp,tpm144,6.756393877,47.42923689,Point,Mudug,Xarardheere,Fixed,20/08/2017,UNICEF,RAWA
