region,region_id,Live,Dead,CFR,period
Nugaal,R1720064,170,1,0.6,Week 9
Bakool,R1720052,52,1,1.9,Week 10
Banadir,R1720053,26,0,0,Week 10
Bay,R1720055,153,3,2,Week 10
Galgadud,R1720056,14,0,0,Week 10
Gedo,R1720057,56,3,5.4,Week 10
Hiran,R1720058,0,0,0,Week 10
Lower Juba,R1720059,7,0,0,Week 10
Lower Shabelle,R1720060,30,1,3.3,Week 10
Middle Shabelle,R1720062,17,0,0,Week 10
Bakool,R1720052,190,5,7.8,Week 11
Banadir,R1720053,63,1,5.3,Week 11
Bay,R1720055,451,14,9.7,Week 11
Galgadud,R1720056,4,0,0,Week 11
Gedo,R1720057,197,9,15.8,Week 11
Hiran,R1720058,0,0,0,Week 11
Lower Juba,R1720059,17,0,0,Week 11
Lower Shabelle,R1720060,55,0,0,Week 11
Middle Juba,R1720061,168,24,27.3,Week 11
Middle Shabelle,R1720062,27,2,20,Week 11
Bay,R1720055,1479,35,2.4,Week 12
Bakool,R1720052,581,11,1.9,Week 12
Lower Juba,R1720059,96,2,2.1,Week 12
Gedo,R1720057,526,12,2.3,Week 12
Galgadud,R1720056,0,0,0,Week 12
Middle Shabelle,R1720062,113,3,2.7,Week 12
Hiran,R1720058,0,0,0,Week 12
Lower Shabelle,R1720060,330,1,0.3,Week 12
Bari,R1720054,33,0,0,Week 12
Mudug,R1720063,31,1,3.2,Week 12
Nugaal,R1720064,57,0,0,Week 12
Ayn,R1720067,0,0,0,Week 12
Banadir,R1720053,153,5,3.3,Week 12
Bay,R1720055,1329,172,1.9,Week 13
Bakool,R1720052,323,128,5.4,Week 13
Lower Juba,R1720059,66,6,1,Week 13
Gedo,R1720057,593,39,2.1,Week 13
Galgadud,R1720056,0,5,3,Week 13
Middle Shabelle,R1720062,142,15,1.4,Week 13
Hiran,R1720058,0,3,1,Week 13
Lower Shabelle,R1720060,417,33,1,Week 13
Bari,R1720054,17,4,1.7,Week 13
Mudug,R1720063,22,4,1.9,Week 13
Nugaal,R1720064,126,25,3.4,Week 13
Ayn,R1720067,88,13,3.4,Week 13
Banadir,R1720053,2026,45,2.1,Week 13
Bay,R1720055,1041,8,0.8,Week 14
Bakool,R1720052,290,6,2.1,Week 14
Lower Juba,R1720059,61,0,0,Week 14
Gedo,R1720057,728,7,1,Week 14
Galgadud,R1720056,0,0,0,Week 14
Middle Shabelle,R1720062,114,0,0,Week 14
Hiran,R1720058,0,0,0,Week 14
Lower Shabelle,R1720060,460,3,0.7,Week 14
Bari,R1720054,12,0,0,Week 14
Mudug,R1720063,41,0,0,Week 14
Nugaal,R1720064,101,0,0,Week 14
Ayn,R1720067,113,4,3.5,Week 14
Banadir,R1720053,167,4,2.4,Week 14
Bay,R1720055,1094,13,1.2,Week 15
Bakool,R1720052,215,3,1.4,Week 15
Lower Juba,R1720059,61,1,1.6,Week 15
Gedo,R1720057,460,3,0.7,Week 15
Galgadud,R1720056,285,0,0,Week 15
Middle Shabelle,R1720062,122,0,0,Week 15
Hiran,R1720058,4,0,0,Week 15
Lower Shabelle,R1720060,344,6,1.7,Week 15
Bari,R1720054,26,0,0,Week 15
Mudug,R1720063,16,0,0,Week 15
Nugaal,R1720064,63,4,6.3,Week 15
Ayn,R1720067,134,2,1.5,Week 15
Banadir,R1720053,160,2,1.3,Week 15
Bay,R1720055,926,12,1.3,Week 16
Bakool,R1720052,175,12,6.9,Week 16
Lower Juba,R1720059,72,1,1.4,Week 16
Gedo,R1720057,348,1,0.3,Week 16
Galgadud,R1720056,221,1,0.5,Week 16
Middle Shabelle,R1720062,71,1,1.4,Week 16
Hiran,R1720058,6,0,0,Week 16
Lower Shabelle,R1720060,292,6,2.1,Week 16
Bari,R1720054,37,4,10.8,Week 16
Mudug,R1720063,163,0,0,Week 16
Nugaal,R1720064,89,0,0,Week 16
Ayn,R1720067,780,18,18,Week 16
Banadir,R1720053,176,4,2.3,Week 16
