cartodb_id,fid_fsnau_,code,lhz_2015,lhzcd_2015,fid_sm_dis,reg_name,reg_code,reg_alt,dist_name,dis_code,dist_alt,note,area,dist_2_nam,gu_12
13,1,02,Northwest Agropastoral,02: West Golis Pastoral,7,Woqooyi Galbeed,12,West Galbeed,Gebiley,1203,Gabiley,,4269.85154769,Gebiley,2
37,4,05,Hawd Pastoral,05: Hawd Pastoral,29,Mudug,18,,Galdogob,1802,Goldogob,,1959.74911513,Galdogob,3
49,5,06,Northern Inland Pastoral - Goat & Sheep,06: Northern Inland Pastoral - Goat & Sheep,14,Sool,14,,Taleex,1403,Taleh,,8615.00924385,Taleex,4
63,8,07,"East Golis - Frankincense, Goats & Fishing","07: East Golis - Frankincense, Goats & Fishing",4,Awdal,11,,Zeylac,1104,Saylac,,6082.2950477,Zeylac,2
65,9,07,"East Golis - Frankincense, Goats & Fishing","07: East Golis - Frankincense, Goats & Fishing",17,Sanaag,15,Sanag,Ceel Afweyn,1502,"Ceel Afweyne, Ceel-afwein, El Afwein","Sanaag region now includes Badhan district (1504), but no boundary exists as yet for this district",15680.0280862,Ceel Afweyn,3
71,10,08,Coastal Deeh Pastoral & Fishing,08: Coastal Deeh Pastoral & Fishing,45,Shabelle Hoose,23,"Lower Shabelle, Shabeellaha Hoose",Marka,2301,Merka,"Shabelle Hoose now includes Aw Dheegle district (2308), but no boundary exists as yet for this district",1065.13081049,Marka,2
106,16,11,"Southern Inland Pastoral – Camels, Goat/Sheep, Cattle","11: Southern Inland Pastoral – Camels, Goat/Sheep, Cattle",70,Juba Hoose,28,"Lower Juba, Jubbada Hoose",Kismaayo,2801,Kismayo,,9237.88026761,Kismaayo,2
119,22,11,"Southern Inland Pastoral – Camels, Goat/Sheep, Cattle","11: Southern Inland Pastoral – Camels, Goat/Sheep, Cattle",69,Juba Dhexe,27,"Middle Juba, Jubbada Dhexe",Saakow,2703,Sakow,,8061.89926992,Saakow,2
133,23,11,"Southern Inland Pastoral – Camels, Goat/Sheep, Cattle","11: Southern Inland Pastoral – Camels, Goat/Sheep, Cattle",56,Bakool,25,,Xudur,2501,Hudur,,5428.8994266,Xudur,3
134,23,11,"Southern Inland Pastoral – Camels, Goat/Sheep, Cattle","11: Southern Inland Pastoral – Camels, Goat/Sheep, Cattle",57,Bakool,25,,Ceel Barde,2502,El Barde,,7682.93655516,Ceel Barde,3
148,25,12,"Southern Agropastoral - Goat,Camel,Sorghum","12: Southern Agropastoral - Goat,Camel,Sorghum",61,Gedo,26,,Garbahaarey,2601,"Garbahaaray, Garbaharey","Gedo region now includes Buur Dhuubo district (2607), but no boundary exists as yet for this district",8329.40687525,Garbahaarey,3
160,29,12,"Southern Agropastoral - Goat,Camel,Sorghum","12: Southern Agropastoral - Goat,Camel,Sorghum",52,Bay,24,,Baydhaba,2401,"Baydhabo, Baidoa","Bay region now includes Bardaale district (2405), but no boundary exists as yet for this district",12907.3488546,Baydhaba,4
185,32,13,Riverine Pump irrigation,13: Riverine Pump irrigation,71,Juba Hoose,28,"Lower Juba, Jubbada Hoose",Afmadow,2802,,,26880.7483834,Afmadow,2
201,35,14,Riverine gravity irrigation,14: Riverine gravity irrigation,49,Shabelle Hoose,23,"Lower Shabelle, Shabeellaha Hoose",Qoryooley,2305,Qoryoley,"Shabelle Hoose now includes Aw Dheegle district (2308), but no boundary exists as yet for this district",3211.1961645,Qoryooley,3
219,38,15,Sorghum High Potential Agropastoral,15: Sorghum High Potential Agropastoral,55,Bay,24,,Qansax Dheere,2404,Qansah Dere,"Bay region now includes Bardaale district (2405), but no boundary exists as yet for this district",3268.60038171,Qansax Dheere,4
221,38,15,Sorghum High Potential Agropastoral,15: Sorghum High Potential Agropastoral,62,Gedo,26,,Baardheere,2602,"Baar-dheere, Bardera","Gedo region now includes Buur Dhuubo district (2607), but no boundary exists as yet for this district",15355.468659,Baardheere,3
235,39,16,Bay Bakool Low Potential Agropastoral,16: Bay Bakool Low Potential Agropastoral,66,Gedo,26,,Luuq,2606,"Luuk, Luq","Gedo region now includes Buur Dhuubo district (2607), but no boundary exists as yet for this district",8273.9717628,Luuq,2
236,40,17,"Southern Rainfed - Maize, Cattle & Goats","17: Southern Rainfed - Maize, Cattle & Goats",72,Juba Hoose,28,"Lower Juba, Jubbada Hoose",Badhaadhe,2803,Badhadhe,,9648.30172684,Badhaadhe,3
240,44,17,"Southern Rainfed - Maize, Cattle & Goats","17: Southern Rainfed - Maize, Cattle & Goats",70,Juba Hoose,28,"Lower Juba, Jubbada Hoose",Kismaayo,2801,Kismayo,,9237.88026761,Kismaayo,3
249,47,17,"Southern Rainfed - Maize, Cattle & Goats","17: Southern Rainfed - Maize, Cattle & Goats",70,Juba Hoose,28,"Lower Juba, Jubbada Hoose",Kismaayo,2801,Kismayo,,9237.88026761,Kismaayo,3
257,50,18,Juba Pastoral -  Cattle & Goats,18: Juba Pastoral -  Cattle & Goats,67,Juba Dhexe,27,"Middle Juba, Jubbada Dhexe",Bu'aale,2701,,,5494.49970777,Bu'aale,3
1,0,01,Guban Pastoral,01: Guban Pastoral,1,Awdal,11,,Borama,1101,Boorama,,3076.07927589,Borama,3
2,0,01,Guban Pastoral,01: Guban Pastoral,2,Awdal,11,,Baki,1102,,,3424.03465892,Baki,3
3,0,01,Guban Pastoral,01: Guban Pastoral,3,Awdal,11,,Lughaye,1103,,,3344.227838,Lughaye,3
4,0,01,Guban Pastoral,01: Guban Pastoral,4,Awdal,11,,Zeylac,1104,Saylac,,6082.2950477,Zeylac,3
24,3,04,Togdheer Agropastoral,04: Togdheer Agropastoral,8,Togdheer,13,Tog-dheer,Burco,1301,Burao,,16052.9183962,Burco,3
25,3,04,Togdheer Agropastoral,04: Togdheer Agropastoral,10,Togdheer,13,Tog-dheer,Owdweyne,1303,Oodweyne,,8341.23549745,Owdweyne,3
26,3,04,Togdheer Agropastoral,04: Togdheer Agropastoral,11,Togdheer,13,Tog-dheer,Sheikh,1304,Sheekh,,2960.23300521,Sheikh,3
140,24,11,"Southern Inland Pastoral – Camels, Goat/Sheep, Cattle","11: Southern Inland Pastoral – Camels, Goat/Sheep, Cattle",33,Galgaduud,19,Galgadud,Dhuusamarreeb,1901,"Dhusa Marreeb, Dhuusamareeb, Dhusa Mareeb",,12693.300429,Dhuusamarreeb,3
5,0,01,Guban Pastoral,01: Guban Pastoral,6,Woqooyi Galbeed,12,West Galbeed,Berbera,1202,,,10267.5150728,Berbera,3
6,0,01,Guban Pastoral,01: Guban Pastoral,17,Sanaag,15,Sanag,Ceel Afweyn,1502,"Ceel Afweyne, Ceel-afwein, El Afwein","Sanaag region now includes Badhan district (1504), but no boundary exists as yet for this district",15680.0280862,Ceel Afweyn,3
10,1,02,Northwest Agropastoral,02: West Golis Pastoral,4,Awdal,11,,Zeylac,1104,Saylac,,6082.2950477,Zeylac,2
11,1,02,Northwest Agropastoral,02: West Golis Pastoral,5,Woqooyi Galbeed,12,West Galbeed,Hargeysa,1201,Hargeisa,,13682.1616897,Hargeysa,2
12,1,02,Northwest Agropastoral,02: West Golis Pastoral,6,Woqooyi Galbeed,12,West Galbeed,Berbera,1202,,,10267.5150728,Berbera,2
14,1,02,Northwest Agropastoral,02: West Golis Pastoral,8,Togdheer,13,Tog-dheer,Burco,1301,Burao,,16052.9183962,Burco,2
16,1,02,Northwest Agropastoral,02: West Golis Pastoral,11,Togdheer,13,Tog-dheer,Sheikh,1304,Sheekh,,2960.23300521,Sheikh,2
17,1,02,Northwest Agropastoral,02: West Golis Pastoral,13,Sool,14,,Caynabo,1402,Ainabo,,8069.19562284,Caynabo,2
18,1,02,Northwest Agropastoral,02: West Golis Pastoral,17,Sanaag,15,Sanag,Ceel Afweyn,1502,"Ceel Afweyne, Ceel-afwein, El Afwein","Sanaag region now includes Badhan district (1504), but no boundary exists as yet for this district",15680.0280862,Ceel Afweyn,2
20,2,03,Northwest Agropastoral,03: Northwest Agropastoral,2,Awdal,11,,Baki,1102,,,3424.03465892,Baki,2
21,2,03,Northwest Agropastoral,03: Northwest Agropastoral,5,Woqooyi Galbeed,12,West Galbeed,Hargeysa,1201,Hargeisa,,13682.1616897,Hargeysa,2
22,2,03,Northwest Agropastoral,03: Northwest Agropastoral,7,Woqooyi Galbeed,12,West Galbeed,Gebiley,1203,Gabiley,,4269.85154769,Gebiley,2
23,2,03,Northwest Agropastoral,03: Northwest Agropastoral,10,Togdheer,13,Tog-dheer,Owdweyne,1303,Oodweyne,,8341.23549745,Owdweyne,2
27,4,05,Hawd Pastoral,05: Hawd Pastoral,5,Woqooyi Galbeed,12,West Galbeed,Hargeysa,1201,Hargeisa,,13682.1616897,Hargeysa,3
28,4,05,Hawd Pastoral,05: Hawd Pastoral,8,Togdheer,13,Tog-dheer,Burco,1301,Burao,,16052.9183962,Burco,3
30,4,05,Hawd Pastoral,05: Hawd Pastoral,10,Togdheer,13,Tog-dheer,Owdweyne,1303,Oodweyne,,8341.23549745,Owdweyne,3
31,4,05,Hawd Pastoral,05: Hawd Pastoral,12,Sool,14,,Laas Caanood,1401,"Las Caanood, Lascaanod, Lasanod, Las Anod",,11571.855093,Laas Caanood,3
32,4,05,Hawd Pastoral,05: Hawd Pastoral,13,Sool,14,,Caynabo,1402,Ainabo,,8069.19562284,Caynabo,3
33,4,05,Hawd Pastoral,05: Hawd Pastoral,25,Nugaal,17,Nugal,Garoowe,1701,Garowe,"Nugaal region now includes Dan Gorayo district (1704), but no boundary exists as yet for this district",8623.00203064,Garoowe,3
34,4,05,Hawd Pastoral,05: Hawd Pastoral,26,Nugaal,17,Nugal,Burtinle,1702,,"Nugaal region now includes Dan Gorayo district (1704), but no boundary exists as yet for this district",9696.75053636,Burtinle,3
35,4,05,Hawd Pastoral,05: Hawd Pastoral,27,Nugaal,17,Nugal,Eyl,1703,,"Nugaal region now includes Dan Gorayo district (1704), but no boundary exists as yet for this district",9365.85225051,Eyl,3
54,5,06,Northern Inland Pastoral - Goat & Sheep,06: Northern Inland Pastoral - Goat & Sheep,19,Bari,16,,Bossaso,1601,"Bossaaso, Bossaso , Bosaaso",,7921.5299631,Bossaso,4
57,5,06,Northern Inland Pastoral - Goat & Sheep,06: Northern Inland Pastoral - Goat & Sheep,23,Bari,16,,Qandala,1605,Kandala,,7452.84051326,Qandala,4
36,4,05,Hawd Pastoral,05: Hawd Pastoral,28,Mudug,18,,Gaalkacyo,1801,"Galkacyo, Gaalkacayo, Galkayo",,15200.7931242,Gaalkacyo,3
38,4,05,Hawd Pastoral,05: Hawd Pastoral,31,Mudug,18,,Jariiban,1804,,,10975.8617279,Jariiban,3
39,4,05,Hawd Pastoral,05: Hawd Pastoral,33,Galgaduud,19,Galgadud,Dhuusamarreeb,1901,"Dhusa Marreeb, Dhuusamareeb, Dhusa Mareeb",,12693.300429,Dhuusamarreeb,3
40,4,05,Hawd Pastoral,05: Hawd Pastoral,34,Galgaduud,19,Galgadud,Cabudwaaq,1902,"Caabudwaaq, Abudwaq",,6200.22329398,Cabudwaaq,3
41,4,05,Hawd Pastoral,05: Hawd Pastoral,35,Galgaduud,19,Galgadud,Cadaado,1903,"Cadado, Adado",,6417.51737029,Cadaado,3
42,4,05,Hawd Pastoral,05: Hawd Pastoral,36,Galgaduud,19,Galgadud,Ceel Buur,1904,"El Bur, Ceel Bur",,13358.1155731,Ceel Buur,3
43,4,05,Hawd Pastoral,05: Hawd Pastoral,38,Hiraan,20,Hiiraan,Belet Weyne,2001,Beled Weyne,"Hiraan region now includes Maxaas (2004) and Matabaan district (2005), but no boundary exists as yet for these districts",14866.4028164,Belet Weyne,3
44,4,05,Hawd Pastoral,05: Hawd Pastoral,39,Hiraan,20,Hiiraan,Bulo Burto,2002,"Bulo Barde, Buulo Burdo, Bula-brif, Bulo Burti","Hiraan region now includes Maxaas (2004) and Matabaan district (2005), but no boundary exists as yet for these districts",16042.8563223,Bulo Burto,3
45,5,06,Northern Inland Pastoral - Goat & Sheep,06: Northern Inland Pastoral - Goat & Sheep,8,Togdheer,13,Tog-dheer,Burco,1301,Burao,,16052.9183962,Burco,4
46,5,06,Northern Inland Pastoral - Goat & Sheep,06: Northern Inland Pastoral - Goat & Sheep,9,Togdheer,13,Tog-dheer,Buuhoodle,1302,Buhodle,,6782.1837001,Buuhoodle,4
47,5,06,Northern Inland Pastoral - Goat & Sheep,06: Northern Inland Pastoral - Goat & Sheep,12,Sool,14,,Laas Caanood,1401,"Las Caanood, Lascaanod, Lasanod, Las Anod",,11571.855093,Laas Caanood,4
55,5,06,Northern Inland Pastoral - Goat & Sheep,06: Northern Inland Pastoral - Goat & Sheep,20,Bari,16,,Bandarbeyla,1602,"Bandar Beyla, Bander-beyla, Benderbela",,11384.3263372,Bandarbeyla,4
56,5,06,Northern Inland Pastoral - Goat & Sheep,06: Northern Inland Pastoral - Goat & Sheep,22,Bari,16,,Iskushuban,1604,,,18529.1220186,Iskushuban,4
58,5,06,Northern Inland Pastoral - Goat & Sheep,06: Northern Inland Pastoral - Goat & Sheep,24,Bari,16,,Qardho,1606,Gardo,,18730.9216739,Qardho,4
48,5,06,Northern Inland Pastoral - Goat & Sheep,06: Northern Inland Pastoral - Goat & Sheep,13,Sool,14,,Caynabo,1402,Ainabo,,8069.19562284,Caynabo,4
50,5,06,Northern Inland Pastoral - Goat & Sheep,06: Northern Inland Pastoral - Goat & Sheep,15,Sool,14,,Xudun,1404,Hudun,,9112.01592351,Xudun,4
51,5,06,Northern Inland Pastoral - Goat & Sheep,06: Northern Inland Pastoral - Goat & Sheep,16,Sanaag,15,Sanag,Ceerigaabo,1501,"Ceerigaavo, Erigavo, Erigabo","Sanaag region now includes Badhan district (1504), but no boundary exists as yet for this district",26015.3188433,Ceerigaabo,4
52,5,06,Northern Inland Pastoral - Goat & Sheep,06: Northern Inland Pastoral - Goat & Sheep,17,Sanaag,15,Sanag,Ceel Afweyn,1502,"Ceel Afweyne, Ceel-afwein, El Afwein","Sanaag region now includes Badhan district (1504), but no boundary exists as yet for this district",15680.0280862,Ceel Afweyn,4
53,5,06,Northern Inland Pastoral - Goat & Sheep,06: Northern Inland Pastoral - Goat & Sheep,18,Sanaag,15,Sanag,Laasqoray,1503,Lasqoray,"Sanaag region now includes Badhan district (1504), but no boundary exists as yet for this district",12222.4245873,Laasqoray,4
59,5,06,Northern Inland Pastoral - Goat & Sheep,06: Northern Inland Pastoral - Goat & Sheep,25,Nugaal,17,Nugal,Garoowe,1701,Garowe,"Nugaal region now includes Dan Gorayo district (1704), but no boundary exists as yet for this district",8623.00203064,Garoowe,4
60,5,06,Northern Inland Pastoral - Goat & Sheep,06: Northern Inland Pastoral - Goat & Sheep,27,Nugaal,17,Nugal,Eyl,1703,,"Nugaal region now includes Dan Gorayo district (1704), but no boundary exists as yet for this district",9365.85225051,Eyl,4
61,6,07,"East Golis - Frankincense, Goats & Fishing","07: East Golis - Frankincense, Goats & Fishing",4,Awdal,11,,Zeylac,1104,Saylac,,6082.2950477,Zeylac,2
62,7,07,"East Golis - Frankincense, Goats & Fishing","07: East Golis - Frankincense, Goats & Fishing",4,Awdal,11,,Zeylac,1104,Saylac,,6082.2950477,Zeylac,2
64,9,07,"East Golis - Frankincense, Goats & Fishing","07: East Golis - Frankincense, Goats & Fishing",16,Sanaag,15,Sanag,Ceerigaabo,1501,"Ceerigaavo, Erigavo, Erigabo","Sanaag region now includes Badhan district (1504), but no boundary exists as yet for this district",26015.3188433,Ceerigaabo,3
72,10,08,Coastal Deeh Pastoral & Fishing,08: Coastal Deeh Pastoral & Fishing,46,Shabelle Hoose,23,"Lower Shabelle, Shabeellaha Hoose",Afgooye,2302,Afgoi,"Shabelle Hoose now includes Aw Dheegle district (2308), but no boundary exists as yet for this district",3952.8826525,Afgooye,2
66,9,07,"East Golis - Frankincense, Goats & Fishing","07: East Golis - Frankincense, Goats & Fishing",18,Sanaag,15,Sanag,Laasqoray,1503,Lasqoray,"Sanaag region now includes Badhan district (1504), but no boundary exists as yet for this district",12222.4245873,Laasqoray,3
67,9,07,"East Golis - Frankincense, Goats & Fishing","07: East Golis - Frankincense, Goats & Fishing",19,Bari,16,,Bossaso,1601,"Bossaaso, Bossaso , Bosaaso",,7921.5299631,Bossaso,3
68,9,07,"East Golis - Frankincense, Goats & Fishing","07: East Golis - Frankincense, Goats & Fishing",21,Bari,16,,Caluula,1603,"Calawla, Alula",,4580.34910344,Caluula,3
69,9,07,"East Golis - Frankincense, Goats & Fishing","07: East Golis - Frankincense, Goats & Fishing",22,Bari,16,,Iskushuban,1604,,,18529.1220186,Iskushuban,3
70,9,07,"East Golis - Frankincense, Goats & Fishing","07: East Golis - Frankincense, Goats & Fishing",23,Bari,16,,Qandala,1605,Kandala,,7452.84051326,Qandala,3
222,38,15,Sorghum High Potential Agropastoral,15: Sorghum High Potential Agropastoral,66,Gedo,26,,Luuq,2606,"Luuk, Luq","Gedo region now includes Buur Dhuubo district (2607), but no boundary exists as yet for this district",8273.9717628,Luuq,3
73,11,08,Coastal Deeh Pastoral & Fishing,08: Coastal Deeh Pastoral & Fishing,0,Banadir,22,Banaadir,Banadir,22,,"Xamar Weyne(01), Hodan(02), Wardhiigleey(03), Boondheere(04), Xamar Jabjab(05), Waaberi(06), Wadajir(07), Kaaraan(08), Yaaqshiid(09), Shibis(10), Cabdulcasiis(11), Hawl Wadaag(12), Shangaani(13), Heliwaa(14), Dharkenley(15), Dayniile(16)",236.315432204,Banadir,
92,12,09,Addun Pastoral,09: Addun Pastoral,36,Galgaduud,19,Galgadud,Ceel Buur,1904,"El Bur, Ceel Bur",,13358.1155731,Ceel Buur,3
74,11,08,Coastal Deeh Pastoral & Fishing,08: Coastal Deeh Pastoral & Fishing,20,Bari,16,,Bandarbeyla,1602,"Bandar Beyla, Bander-beyla, Benderbela",,11384.3263372,Bandarbeyla,3
75,11,08,Coastal Deeh Pastoral & Fishing,08: Coastal Deeh Pastoral & Fishing,22,Bari,16,,Iskushuban,1604,,,18529.1220186,Iskushuban,3
76,11,08,Coastal Deeh Pastoral & Fishing,08: Coastal Deeh Pastoral & Fishing,24,Bari,16,,Qardho,1606,Gardo,,18730.9216739,Qardho,3
90,12,09,Addun Pastoral,09: Addun Pastoral,33,Galgaduud,19,Galgadud,Dhuusamarreeb,1901,"Dhusa Marreeb, Dhuusamareeb, Dhusa Mareeb",,12693.300429,Dhuusamarreeb,3
91,12,09,Addun Pastoral,09: Addun Pastoral,35,Galgaduud,19,Galgadud,Cadaado,1903,"Cadado, Adado",,6417.51737029,Cadaado,3
94,13,10,Cowpea Belt,10: Cowpea Belt,32,Mudug,18,,Xarardheere,1805,"Hararheere, Harardhere",,5128.76109359,Xarardheere,3
95,13,10,Cowpea Belt,10: Cowpea Belt,33,Galgaduud,19,Galgadud,Dhuusamarreeb,1901,"Dhusa Marreeb, Dhuusamareeb, Dhusa Mareeb",,12693.300429,Dhuusamarreeb,3
77,11,08,Coastal Deeh Pastoral & Fishing,08: Coastal Deeh Pastoral & Fishing,27,Nugaal,17,Nugal,Eyl,1703,,"Nugaal region now includes Dan Gorayo district (1704), but no boundary exists as yet for this district",9365.85225051,Eyl,3
78,11,08,Coastal Deeh Pastoral & Fishing,08: Coastal Deeh Pastoral & Fishing,30,Mudug,18,,Hobyo,1803,,,25541.6831828,Hobyo,3
79,11,08,Coastal Deeh Pastoral & Fishing,08: Coastal Deeh Pastoral & Fishing,31,Mudug,18,,Jariiban,1804,,,10975.8617279,Jariiban,3
80,11,08,Coastal Deeh Pastoral & Fishing,08: Coastal Deeh Pastoral & Fishing,32,Mudug,18,,Xarardheere,1805,"Hararheere, Harardhere",,5128.76109359,Xarardheere,3
81,11,08,Coastal Deeh Pastoral & Fishing,08: Coastal Deeh Pastoral & Fishing,37,Galgaduud,19,Galgadud,Ceel Dheer,1905,"El Dere, El Der",,10361.1947138,Ceel Dheer,3
82,11,08,Coastal Deeh Pastoral & Fishing,08: Coastal Deeh Pastoral & Fishing,42,Shabelle Dhexe,21,"Middle Shabelle, Shabeellaha Dhexe",Adan Yabaal,2102,"Aden Yabal, Aadan","Shabelle Dhexe now includes Warsheikh (2105) and Mahaday (2106), but no boundary exists as yet for these districts",3978.35974387,Adan Yabaal,3
213,37,15,Sorghum High Potential Agropastoral,15: Sorghum High Potential Agropastoral,45,Shabelle Hoose,23,"Lower Shabelle, Shabeellaha Hoose",Marka,2301,Merka,"Shabelle Hoose now includes Aw Dheegle district (2308), but no boundary exists as yet for this district",1065.13081049,Marka,2
83,11,08,Coastal Deeh Pastoral & Fishing,08: Coastal Deeh Pastoral & Fishing,43,Shabelle Dhexe,21,"Middle Shabelle, Shabeellaha Dhexe",Balcad,2103,Balad,"Shabelle Dhexe now includes Warsheikh (2105) and Mahaday (2106), but no boundary exists as yet for these districts",4229.44106984,Balcad,3
84,11,08,Coastal Deeh Pastoral & Fishing,08: Coastal Deeh Pastoral & Fishing,44,Shabelle Dhexe,21,"Middle Shabelle, Shabeellaha Dhexe",Cadale,2104,Adale,"Shabelle Dhexe now includes Warsheikh (2105) and Mahaday (2106), but no boundary exists as yet for these districts",5820.03151306,Cadale,3
85,11,08,Coastal Deeh Pastoral & Fishing,08: Coastal Deeh Pastoral & Fishing,46,Shabelle Hoose,23,"Lower Shabelle, Shabeellaha Hoose",Afgooye,2302,Afgoi,"Shabelle Hoose now includes Aw Dheegle district (2308), but no boundary exists as yet for this district",3952.8826525,Afgooye,2
86,12,09,Addun Pastoral,09: Addun Pastoral,27,Nugaal,17,Nugal,Eyl,1703,,"Nugaal region now includes Dan Gorayo district (1704), but no boundary exists as yet for this district",9365.85225051,Eyl,3
87,12,09,Addun Pastoral,09: Addun Pastoral,28,Mudug,18,,Gaalkacyo,1801,"Galkacyo, Gaalkacayo, Galkayo",,15200.7931242,Gaalkacyo,3
88,12,09,Addun Pastoral,09: Addun Pastoral,30,Mudug,18,,Hobyo,1803,,,25541.6831828,Hobyo,3
89,12,09,Addun Pastoral,09: Addun Pastoral,31,Mudug,18,,Jariiban,1804,,,10975.8617279,Jariiban,3
96,13,10,Cowpea Belt,10: Cowpea Belt,36,Galgaduud,19,Galgadud,Ceel Buur,1904,"El Bur, Ceel Bur",,13358.1155731,Ceel Buur,3
97,13,10,Cowpea Belt,10: Cowpea Belt,37,Galgaduud,19,Galgadud,Ceel Dheer,1905,"El Dere, El Der",,10361.1947138,Ceel Dheer,3
