period,latitude,longitude,geometry,region,district,type_of_site,visit_date,dfid_partner,ngo,site_name,site_id,rutf
Phase 2,10.62262159,47.36771648,Point,Sanaag,Ceerigaabo,Fixed,8/8/2017,UNICEF,SRCS,Barwaaqo Mch,tpm073,0
Phase 2,3.957212778,41.91382967,Point,Gedo,Bulla Hawa ,Mobile headquarters,8/8/2017,SNS+,Trocaire,Qurac Bilaash,tpm074,6
Phase 2,10.44131373,45.02329723,Point,Sahil,Berbera,Fixed,8/8/2017,UNICEF,HPA,Jaamalaye Mch ,tpm075,0
Phase 2,9.928779855,43.17926937,Point,Awdal,Borama,Fixed,9/8/2017,UNICEF,SCI,Shed Dheer Hc,tpm076,0
Phase 2,7.03719177,47.02855998,Point,Mudug,Gaalkacyo,Fixed,9/8/2017,UNICEF,SRCS,Galdogob,tpm077,31
Phase 2,3.800238348,42.54454192,Point,Gedo,Luuq,Fixed,10/8/2017,SNS+,Trocaire,Luuq Stabilzation Center,tpm078,0
Phase 2,10.80041307,47.30479309,Point,Sanaag,Ceerigaabo,Fixed,10/8/2017,UNICEF,SRCS,Maydh Mch,tpm079,0
Phase 2,3.892273155,41.93394617,Point,Gedo,Bulla Hawa ,Mobile headquarters,10/8/2017,SNS+,Trocaire,Malmaley Primary Health Unit,tpm080,0
Phase 2,3.786116014,42.54824068,Point,Gedo,Luuq,Fixed,12/8/2017,SNS+,Trocaire,Akara Health Center,tpm081,0
Phase 2,6.476172692,46.96368529,Point,Mudug,Gaalkacyo,Fixed,12/8/2017,UNICEF,CESVI,Bandiradley Mch,tpm082,0
Phase 2,10.4419377,45.01086896,Point,Sahil,Berbera,Fixed,7/8/2017,UNICEF,HPA,Berbera Central,tpm086,0
Phase 2,10.61779715,47.37253126,Point,Sanaag,Ceerigaabo,Mobile headquarters,14/8/2017,UNICEF,SRCS,Kulmiye Mch Hq,tpm087,0
Phase 2,10.61802974,47.37218913,Point,Sanaag,Ceerigaabo,Fixed,13/8/2017,UNICEF,SRCS,Kulmiye Mch,tpm088,0
Phase 2,10.17558724,45.98711502,Point,Sahil,Berbera,Fixed,9/8/2017,UNICEF,HPA,Laas Iidle Hc,tpm089,0
Phase 2,10.05226215,44.98209898,Point,Sahil,Berbera,Fixed,13/8/2017,UNICEF,SRCS,Laso Dawaco Mch,tpm090,3
Phase 2,7.17658597,47.24403819,Point,Mudug,Galdogob,Fixed,12/8/2017,UNICEF,MOH,Bursalax Hc,tpm091,3
Phase 2,9.936540475,43.17944386,Point,Awdal,Borama,Fixed,10/8/2017,UNICEF,SCI,Sc Borama Hospital,tpm092,0
Phase 2,10.38348227,44.40427115,Point,Sahil,Berbera,Fixed,10/8/2017,UNICEF,HPA,Bulahaar Health Centre,tpm093,3
Phase 2,9.942455929,45.33166286,Point,Sahil,Sheikh,Fixed,15/8/2017,UNICEF,HPA,Suuqsade Mch,tpm094,14
Phase 2,9.95416311,44.6971623,Point,Sahil,Berbera,Fixed,12/8/2017,UNICEF,HPA,Abdaal Mch,tpm095,12
Phase 2,9.931441415,43.18483935,Point,Awdal,Borama,Fixed,13/8/2017,UNICEF,SCI,Shifo,tpm096,0
Phase 2,6.95133977,47.31770314,Point,Mudug,Gaalkacyo,Fixed,13/8/2017,UNICEF,MOH,Beyra Hc,tpm097,6
Phase 2,6.77091481,47.41207132,Point,Mudug,Gaalkacyo,Fixed,14/8/2017,UNICEF,MOH,Doonyaale Hc,tpm098,0
Phase 2,9.4932283,50.8131045,Point,Bari,Banderbeyla,Fixed,15/8/2017,SNS+,SCI,Bandar Bayla Health Referral  Centre,tpm099,14
Phase 2,9.933825824,43.19499113,Point,Awdal,Borama,Fixed,12/8/2017,UNICEF,SCI,Qorgab Hc,tpm100,0
Phase 2,10.01287768,43.36772317,Point,Awdal,Baki,Fixed,14/8/2017,UNICEF,WVI,Baki MCH,tpm101,0
Phase 2,10.08951454,43.01098336,Point,Awdal,Borama,Fixed,15/8/2017,UNICEF,SCI,Quljed Hc,tpm102,0
Phase 2,3.796959138,42.51997397,Point,Gedo,Luuq,Mobile headquarters,16/8/2017,SNS+,Trocaire,Dogob Village,tpm103,0
Phase 2,6.77164385,47.42834559,Point,Mudug,Gaalkacyo,Fixed,15/8/2017,UNICEF,MOH,Galkacyo North Central Hc,tpm104,0
Phase 2,10.19465236,43.08788285,Point,Awdal,Borama,Fixed,17/8/2017,UNICEF,SCI,Boon Hc,tpm106,6
Phase 2,6.434551731,47.48843644,Point,Mudug,Gaalkacyo,Fixed,13/8/2017,UNICEF,CESVI,Docol Mch/Phc,tpm107,0
Phase 2,6.265845421,47.52035264,Point,Mudug,Galkacyo,Fixed,14/8/2017,UNICEF,CESVI,Wargalo Mch/Phc,tpm108,0
Phase 2,6.013735774,47.85131623,Point,Mudug,Hobyo,Fixed,14/8/2017,UNICEF,Mercy USA,Ceel Guula Mch/Phc,tpm109,14
Phase 2,5.7898468,47.70563566,Point,Mudug,Hobyo,Fixed,15/8/2017,UNICEF,Mercy USA,Bajelo Mch/Phc,tpm110,0
Phase 2,9.787876019,44.90681976,Point,Sahil,Sheikh,Fixed,17/8/2017,UNICEF,HPA,Go'Da Wayn Mch,tpm112,0
Phase 2,10.58806315,46.95534508,Point,Sanaag,Ceerigaabo,Fixed,16/8/2017,UNICEF,SRCS,Gudmo Biyo Cas Mch,tpm113,0
Phase 2,9.925118837,47.21729315,Point,Sanaag,Ceel Afweyn,Fixed,19/8/2017,UNICEF,SRCS,Ceel Afweyn Mch,tpm114,0
Phase 2,5.425990735,48.12859535,Point,Mudug,Hobyo,Fixed,16/8/2017,UNICEF,Mercy USA,Wisil Phc,tpm116,31
Phase 2,5.324849265,47.90974193,Point,Mudug,Hobyo,Fixed,17/8/2017,UNICEF,Mercy USA,Bacaadweyne Phc,tpm118,0
Phase 2,7.09381544,48.15886194,Point,Mudug,Jariiban,Fixed,21/8/2017,UNICEF,SRCS,Srcs Balibusle Hc,tpm119,0
Phase 2,10.32634443,42.83816846,Point,Awdal,Zeylac,Fixed,19/8/2017,UNICEF,SRCS,Xariirad Mch,tpm121,0
Phase 2,10.32635485,42.83790595,Point,Awdal,Zeylac,Mobile headquarters,20/8/2017,UNICEF,SRCS,Xariirad Mobile Team,tpm122,6
Phase 2,10.50975161,42.89175692,Point,Awdal,Zeylac,Fixed,21/8/2017,UNICEF,SRCS,Abdiqadir Mch,tpm123,0
Phase 2,10.36933018,43.19143168,Point,Awdal,Zeylac,Fixed,22/8/2017,UNICEF,SRCS,Fiqi Adan Mch,tpm124,6
Phase 2,10.62058985,43.07087351,Point,Awdal,Zeylac,Fixed,23/8/2017,UNICEF,SRCS,Jidhi Mch,tpm125,0
Phase 2,10.60699744,43.43447701,Point,Awdal,Lughaye,Fixed,24/8/2017,UNICEF,WVI,Geerisa Mch,tpm126,0
Phase 2,5.310633901,48.29817594,Point,Mudug,Hobyo,Fixed,26/8/2017,UNICEF,Mercy USA,Gawaan Mch/Phc,tpm128,0
Phase 2,5.001297952,48.26315919,Point,Mudug,Xarardheere,Fixed,22/8/2017,UNICEF,DEH,Ceel Huur Mch/Phc,tpm129,0
Phase 2,5.886964867,48.34973572,Point,Mudug,Hobyo,Fixed,31/8/2017,UNICEF,Mercy USA,Ceel Dibir Mch/Phc,tpm130,0
Phase 2,5.228203283,48.25187409,Point,Mudug,Hobyo,Fixed,27/8/2017,UNICEF,Mercy USA,Qararow Mch/Phc,tpm131,0
Phase 2,5.576623353,48.23978699,Point,Mudug,Hobyo,Fixed,28/8/2017,UNICEF,Mercy USA,Hero Dhagahley Mch/Phc,tpm132,31
Phase 2,10.60706003,43.43424727,Point,Awdal,Lughaye,Mobile headquarters,24/8/2017,UNICEF,WVI,Geerisa Mobile Team,tpm134,0
Phase 2,10.68264914,43.94122096,Point,Awdal,Lughaye,Fixed,29/8/2017,UNICEF,WVI,Lughaya Mch,tpm135,0
Phase 2,10.2869453,43.29464299,Point,Awdal,Borama,Fixed,30/8/2017,UNICEF,WVI,Fadhi Xun Mch,tpm136,0
Phase 2,10.31116762,43.80532217,Point,Awdal,Lughaye,Fixed,31/8/2017,UNICEF,WVI,Gargaara Mch,tpm137,0
Phase 2,10.04294457,43.78459223,Point,Awdal,Baki,Fixed,5/9/2017,UNICEF,WVI,Alixaydh Mch,tpm138,0
Phase 2,6.765669589,47.43508411,Point,Mudug,Gaalkacyo,Fixed,9/9/2017,UNICEF,SRCS,"Srcs Mch, Horumar Village.",tpm139,0
Phase 2,10.01274489,43.36745768,Point,Awdal,Baki,Mobile headquarters,16/8/2017,UNICEF,WVI,Baki,tpm140,0
Phase 2,5.350389078,48.52496788,Point,Mudug,Hobyo,Fixed,24/8/2017,UNICEF,Mercy USA,Hobyo Town Mch/Phc,tpm141,0
Phase 2,10.23850628,43.6236838,Point,Awdal,Lughaye,Fixed,4/9/2017,UNICEF,WVI,Garbo Dadar Mch,tpm142,0
