period,latitude,longitude,geometry,region,district,type_of_site,visit_date,dfid_partner,ngo,site_name,site_id,f3_daily_visits_op_children
Phase 1,3.935091559,41.87908963,Point,Gedo,Belet Xaawo,Fixed,11/1/2016,UNICEF,HIRDA,Waberi,tpm014,2
Phase 1,3.116416324,43.64968614,Point,Bay,Baidoa,Fixed,6/12/2017,UNICEF,WVI,Horseed,tpm015,1
Phase 1,3.931069445,41.88546067,Point,Gedo,Belet Xaawo,Mobile Headquarters,42171,UNICEF,WVI,Section Five Belet Hawa,tpm016,2
Phase 1,3.126388482,43.66655232,Point,Bay,Baidoa,Fixed,40806,UNICEF,SOS CVI,Berdale,tpm017,2
Phase 1,10.41814882,51.2729927,Point,Bari,Iskushuban,Fixed,6/13/2017,UNICEF,HADO,Xaafuun,tpm018,2
Phase 1,8.474026503,47.36668965,Point,Sool,Laas Caanood,Fixed,8/8/2005,UNICEF,MOH SL,Sayid Maxamed,tpm019,1
Phase 1,8.481483033,47.35611744,Point,Sool,Laas Caanood,Fixed,8/24/2005,UNICEF,MOH SL,Shacabka,tpm020,2
Phase 1,3.126617532,43.66444251,Point,Bay,Baidoa,Mobile Headquarters,4/15/2012,UNICEF,GREDO,Baidoa Town Horseed Village,tpm021,2
Phase 1,11.28920948,51.07495259,Point,Bari,Iskushuban,Fixed,1/7/2007,UNICEF,HADO,Baargaal,tpm022,1
Phase 1,3.108055117,43.65237338,Point,Bay,Baidoa,Fixed,6/17/2017,UNICEF,WVI,Isha,tpm023,1
Phase 1,9.157713439,47.47831493,Point,Sool,Xudun,Fixed,3/4/1992,UNICEF,SRCS,Xudun,tpm024,1
Phase 1,3.128808739,43.64212004,Point,Bay,Baidoa,Mobile Headquarters,42226,UNICEF,WVI,Baidoa Town,tpm025,1
Phase 1,3.112606751,43.6670423,Point,Bay,Baidoa,Fixed,5/19/2015,UNICEF,WVI,Darusalam,tpm026,1
Phase 1,3.780029944,42.56071324,Point,Gedo,Luuq,Mobile Headquarters,1/29/2017,UNICEF,EDRO,Luuq District,tpm027,2
Phase 1,8.24116243,47.22573675,Point,Sool,Laas Caanood,Fixed,8/5/1999,UNICEF,WORLD CONCERN,Kalabaydh,tpm028,1
Phase 1,3.800314433,42.54442994,Point,Gedo,Luuq,Fixed,9/20/2011,UNICEF,TROCAIRE,Akara,tpm029,2
Phase 1,8.752740767,46.96466179,Point,Sool,Laas Caanood,Fixed,10/3/2000,UNICEF,SRCS,Yagori,tpm030,2
Phase 1,11.87046604,51.05698403,Point,Bari,Caluula,Fixed,9/17/2013,UNICEF,HADO,Bareeda,tpm031,2
Phase 1,11.96315891,50.75338805,Point,Bari,Caluula,Fixed,10/18/2015,UNICEF,HADO,Caluula Town,tpm032,2
Phase 1,11.79029945,50.52400476,Point,Bari,Caluula,Fixed,6/19/2002,UNICEF,HADO,Xaabo,tpm033,1
Phase 1,8.938538417,46.62087944,Point,Sool,Laas Caanood,Fixed,5/5/2001,UNICEF,SRCS,Oog,tpm034,1
Phase 1,3.798562721,42.54626865,Point,Gedo,Luuq,Mobile Headquarters,4/23/2016,UNICEF,USWRO,Luuq Town,tpm035,1
Phase 2,6.744783287,47.44655537,Point,Mudug,Gaalkacyo,Fixed,2/8/2017,UNICEF,SDRO,Calanley Bsfp Fdp,tpm037,2
Phase 2,3.930162009,41.87561204,Point,Gedo,Bulla Hawa,Fixed,2/8/2017,SNS+,Trocaire,Health Centre,tpm038,1
Phase 2,4.7347171,45.2086912,Point,Hiraan,Belet Weyne,Fixed,2/8/2017,UNICEF,WARDI,Howl Wadaag Mch,tpm039,1
Phase 2,6.759027742,47.43233543,Point,Mudug,Gaalkacyo,Fixed,3/8/2017,UNICEF,SDRO,"Horseed Tsfp, Howl-Wadaag",tpm042,2
Phase 2,4.7431476,45.2076973,Point,Hiraan,Belet Weyne,Mobile headquarters,3/8/2017,UNICEF,SCI,Hoodley,tpm045,1
Phase 2,6.756131999,47.44337751,Point,Mudug,Gaalkacyo,Fixed,5/8/2017,UNICEF,SDRO,"Bulo Bisharo Bsfp, Howlwadaag, Galkayo",tpm048,2
Phase 2,4.094517287,42.02683115,Point,Gedo,Dolow,Mobile headquarters,5/8/2017,SNS+,Trocaire,Surgudud Phu,tpm050,1
Phase 2,9.973754224,46.69859375,Point,Sanaag,Ceel Afweyn,Fixed,5/8/2017,UNICEF,HEAL ,Huluul,tpm051,1
Phase 2,10.37320808,47.19485551,Point,Sanaag,Ceerigaabo,Fixed,6/8/2017,UNICEF,SRCS,Yufle Mch,tpm053,1
Phase 2,4.111421658,42.26782319,Point,Gedo,Dolow,Mobile headquarters,6/8/2017,SNS+,Trocaire,Sadhumay Phu,tpm054,1
Phase 2,5.236419209,45.68346621,Point,Hiraan,Belet Weyne,Mobile headquarters,6/8/2017,UNICEF,SCI,Sci Office In Mataban,tpm056,1
Phase 2,9.77703446,43.35070927,Point,Awdal,Baki,Mobile headquarters,6/8/2017,UNICEF,SRCS,Dila Mhc Mobile Team,tpm060,1
Phase 2,6.761330942,47.44286141,Point,Mudug,Gaalkacyo,Fixed,7/8/2017,UNICEF,SDRO,"Horumar Mch, Galkayo",tpm061,1
Phase 2,5.199422421,45.52604034,Point,Hiraan,Belet Weyne,Fixed,7/8/2017,UNICEF,HIRDO,Mataban Mch,tpm064,1
Phase 2,7.19253327,47.52196685,Point,Mudug,Gaalkacyo,Fixed,7/8/2017,UNICEF,SRCS,Ba'Aadweyn,tpm066,1
Phase 2,6.764461103,47.43340528,Point,Mudug,Gaalkacyo,Mobile headquarters,8/8/2017,UNICEF,SDRO,Horumar Tsfp,tpm070,2
Phase 2,6.760465077,47.42717081,Point,Mudug,Gaalkacyo,Fixed,8/8/2017,UNICEF,SDRO,Bulo Kontrol Bsfp,tpm071,2
Phase 2,4.071371038,42.35476959,Point,Gedo,Dolow,Mobile headquarters,8/8/2017,SNS+,Trocaire,Koreey Phu,tpm072,1
Phase 2,10.44131373,45.02329723,Point,Sahil,Berbera,Fixed,8/8/2017,UNICEF,HPA,Jaamalaye Mch ,tpm075,1
Phase 2,6.476172692,46.96368529,Point,Mudug,Gaalkacyo,Fixed,12/8/2017,UNICEF,CESVI,Bandiradley Mch,tpm082,1
Phase 2,10.4419377,45.01086896,Point,Sahil,Berbera,Fixed,7/8/2017,UNICEF,HPA,Berbera Central,tpm086,1
Phase 2,10.61779715,47.37253126,Point,Sanaag,Ceerigaabo,Mobile headquarters,14/8/2017,UNICEF,SRCS,Kulmiye Mch Hq,tpm087,1
Phase 2,10.61802974,47.37218913,Point,Sanaag,Ceerigaabo,Fixed,13/8/2017,UNICEF,SRCS,Kulmiye Mch,tpm088,2
Phase 2,10.05226215,44.98209898,Point,Sahil,Berbera,Fixed,13/8/2017,UNICEF,SRCS,Laso Dawaco Mch,tpm090,1
Phase 2,9.942455929,45.33166286,Point,Sahil,Sheikh,Fixed,15/8/2017,UNICEF,HPA,Suuqsade Mch,tpm094,1
Phase 2,9.95416311,44.6971623,Point,Sahil,Berbera,Fixed,12/8/2017,UNICEF,HPA,Abdaal Mch,tpm095,1
Phase 2,9.933825824,43.19499113,Point,Awdal,Borama,Fixed,12/8/2017,UNICEF,SCI,Qorgab Hc,tpm100,1
Phase 2,6.77164385,47.42834559,Point,Mudug,Gaalkacyo,Fixed,15/8/2017,UNICEF,MOH,Galkacyo North Central Hc,tpm104,1
Phase 2,6.434551731,47.48843644,Point,Mudug,Gaalkacyo,Fixed,13/8/2017,UNICEF,CESVI,Docol Mch/Phc,tpm107,2
Phase 2,6.265845421,47.52035264,Point,Mudug,Galkacyo,Fixed,14/8/2017,UNICEF,CESVI,Wargalo Mch/Phc,tpm108,2
Phase 2,6.013735774,47.85131623,Point,Mudug,Hobyo,Fixed,14/8/2017,UNICEF,Mercy USA,Ceel Guula Mch/Phc,tpm109,2
Phase 2,5.7898468,47.70563566,Point,Mudug,Hobyo,Fixed,15/8/2017,UNICEF,Mercy USA,Bajelo Mch/Phc,tpm110,1
Phase 2,6.77257136,47.42330706,Point,Mudug,Gaalkacyo,Mobile headquarters,17/8/2017,UNICEF,SDRA,Sdra Office In Galkacyo,tpm111,2
Phase 2,5.425990735,48.12859535,Point,Mudug,Hobyo,Fixed,16/8/2017,UNICEF,Mercy USA,Wisil Phc,tpm116,2
Phase 2,5.324849265,47.90974193,Point,Mudug,Hobyo,Fixed,17/8/2017,UNICEF,Mercy USA,Bacaadweyne Phc,tpm118,1
Phase 2,10.32634443,42.83816846,Point,Awdal,Zeylac,Fixed,19/8/2017,UNICEF,SRCS,Xariirad Mch,tpm121,1
Phase 2,10.32635485,42.83790595,Point,Awdal,Zeylac,Mobile headquarters,20/8/2017,UNICEF,SRCS,Xariirad Mobile Team,tpm122,1
Phase 2,10.36933018,43.19143168,Point,Awdal,Zeylac,Fixed,22/8/2017,UNICEF,SRCS,Fiqi Adan Mch,tpm124,1
Phase 2,10.60699744,43.43447701,Point,Awdal,Lughaye,Fixed,24/8/2017,UNICEF,WVI,Geerisa Mch,tpm126,1
Phase 2,5.310633901,48.29817594,Point,Mudug,Hobyo,Fixed,26/8/2017,UNICEF,Mercy USA,Gawaan Mch/Phc,tpm128,1
Phase 2,5.001297952,48.26315919,Point,Mudug,Xarardheere,Fixed,22/8/2017,UNICEF,DEH,Ceel Huur Mch/Phc,tpm129,1
Phase 2,5.886964867,48.34973572,Point,Mudug,Hobyo,Fixed,31/8/2017,UNICEF,Mercy USA,Ceel Dibir Mch/Phc,tpm130,1
Phase 2,5.228203283,48.25187409,Point,Mudug,Hobyo,Fixed,27/8/2017,UNICEF,Mercy USA,Qararow Mch/Phc,tpm131,1
Phase 2,5.576623353,48.23978699,Point,Mudug,Hobyo,Fixed,28/8/2017,UNICEF,Mercy USA,Hero Dhagahley Mch/Phc,tpm132,1
Phase 2,5.425922018,48.12871356,Point,Mudug,Hobyo,Mobile headquarters,29/8/2017,UNICEF,Mercy USA,Wisil Town Mch,tpm133,1
Phase 2,10.60706003,43.43424727,Point,Awdal,Lughaye,Mobile headquarters,24/8/2017,UNICEF,WVI,Geerisa Mobile Team,tpm134,1
Phase 2,10.68264914,43.94122096,Point,Awdal,Lughaye,Fixed,29/8/2017,UNICEF,WVI,Lughaya Mch,tpm135,1
Phase 2,10.2869453,43.29464299,Point,Awdal,Borama,Fixed,30/8/2017,UNICEF,WVI,Fadhi Xun Mch,tpm136,2
Phase 2,10.31116762,43.80532217,Point,Awdal,Lughaye,Fixed,31/8/2017,UNICEF,WVI,Gargaara Mch,tpm137,1
Phase 2,10.01274489,43.36745768,Point,Awdal,Baki,Mobile headquarters,16/8/2017,UNICEF,WVI,Baki,tpm140,1
Phase 2,10.23850628,43.6236838,Point,Awdal,Lughaye,Fixed,4/9/2017,UNICEF,WVI,Garbo Dadar Mch,tpm142,1
Phase 2,6.756393877,47.42923689,Point,Mudug,Xarardheere,Fixed,20/8/2017,UNICEF,RAWA,Camara Fdp,tpm144,2
