IRF CODE,Output,NGO,State,Region,region_id,District,district_id,No of Locations  Targeted,GIS LONGITUDE,Objective,GROUPED ACTIVITY,Original targets Proposal INDIVIDUALS,Original targets Proposal HOUSEHOLDS,Revised targets Proposal INDIVIDUALS,Revised targets Proposal HOUSEHOLDS,Latest report targt individuals (1-15 March),Nr of cash installments,How many days of water trucking?,Distribution date,Amount of cash provided per month (average),Reached Individuals MALE,Reached Individuals FEMALE,Total Beneficiaries,Achievement to date,Progress of Activity,Planned for next month,,
IRF 4 a,2,SCI,,Juba Hoose,R1720059,Dhobley,R1720071,1,,3 wash objectives,Nr of persons provided with water trucking and hygiene promotion,2580,430,TBC,TBC,,,,,,,,,,,,,
IRF 4 a,2,SCI,Somaliland,Awdal,R1720051,Baki,R1720075,3,,WASH for drought relief,Nr of persons provided with water trucking,"1,710",285,1710,285,,,,,,1740,1740,3480,204%,COMPLETED,NO,,
IRF 4 a,2,SCI,Somaliland,Woqooyi Galbeed,R1720068,Hargeysa,R1720110,2,,WASH for drought relief,Nr of persons provided with water trucking,"1,710",285,1710,285,,,,,,1050,1050,2100,123%,COMPLETED,NO,,
IRF 4 b,2,ACF,SWS,Bakool,R1720052,waajid,R1720137,1,,Water trucking for drought relief,Nr of persons provided with water trucking,0,0,5600,800,"5,600",,,,,"2,825","2,775","5,600",100%,COMPLETED,YES,,
IRF 4 b,2,ACF,SWS,Bakool,R1720052,Yeed,R1720131,1,,Water trucking for drought relief,Nr of persons provided with water trucking,0,0,6000,857,6000,,,,,"3,027","2,973","6,000",100%,ONGOING,YES,,
IRF 4 b,2,ACF,Puntland,Nugaal,R1720064,Eyl,R1720104,1,,Water trucking for drought releif,Nr of persons provided with water trucking,"2,800",400,"2,800",400,2800,,,,,1413,1387,"2,800",100%,COMPLETED,NO,,
IRF 4 b,2,Cesvi,SWS,Shabelle Hoose,R1720060,Afgooye,R1720070,1,E: 45.1816,Rehabilitation of shallow wells,Nr of persons provided with water source,"1,540",220,"1,540",220,,,,APRIL,,0,0,0,0%,ONGOING,YES,,
IRF 4 b,2,Cesvi,Hir-shabelle,Hiraan,R1720058,Belet Weyne,R1720079,1,,procurement of HKS and hygiene promotion,Nr of persons sensitized with hygiene promotion,"1,575",225,"1,575",225,,,,APRIL,,931,1008,1939,123%,COMPLETED,NO,,
IRF 4 b,2,Cesvi,Galmudug,mudug,R1720063,Gaalkacyo,R1720107,16,,Water Trucking + Hygiene promotion for the people affected by the drought,Nr of persons provided with water trucking and hygiene promotion,"10,850","1,550","10,850","1,550",,,"between 10 and 20 days 
(depending on locationS) ",APRIL,,10375,10800,21175,195%,COMPLETED,YES,,
IRF 4 b,2,SCI,Puntland,Bari,R1720054,Iskushuban,R1720112,5,,Water Trucking + WASH intervention for prevention of AWD,Nr of persons provided with water trucking and hygiene promotion,"10,848","1,549.71","7,200","1,029","7,200",,,,,4443,4625,9068,126%,COMPLETED,YES,,
IRF 4 b,2,SCI,Puntland,Nugaal,R1720064,Dangorayo,R1720109,2,,Water Trucking + WASH intervention for prevention of AWD,Nr of persons provided with water trucking,,"1,000",-,,,,,,,0,0,0,#DIV/0!,NOT STARTED,YES,,
IRF 4 b,2,SCI,Somaliland,Togdheer,R1720067,Burco,R1720086,7,,Water trucking for drought releif,Nr of persons provided with water trucking,"2,371",339,"9,408","1,344","9,408",,,,,4704,4704,9408,100%,COMPLETED,NO,,
IRF 4 b,2,SCI,Hir-shabelle,Hiraan,R1720058,Belet weyne,R1720079,4,,Hygiene promotion & Hygiene training for the people affected by the drought,Nr of persons sensitized with hygiene promotion,"39,600","5,657","39,600","5,657","39,900",,,,,19582,20018,39600,100%,ONGOING,YES,,
IRF 4 b,2,SCI,Hir-shabelle,Hiraan,R1720058,Matabaan,R1720079,9,,Water trucking for drought relief,Nr of persons provided with water trucking,"8,880","1,269","8,880","1,269","8,800",,,,,4974,4893,9867,111%,ONGOING,YES,,
IRF 4 b,2,SCI,Hir-shabelle,Hiraan,R1720058,Matabaan,R1720079,9,,Hygiene promotion,Nr of persons sensitized with hygiene promotion,"15,800","2,257","15,800","2,257","15,800",,,,,7813,7987,15800,100%,ONGOING,YES,,
IRF 4 b,2,CWW,SWS,Gedo,R1720057,Belet Xaawo,R1720080,13,"41¡50'19.45""E",Water Trucking  for the people affected by the drought,Nr of persons provided with water trucking,"11,656.50","1,665.00","11,656.50","1,665.00","11,656.50",-,-,-,-,"7,168.50","7,461.50","14,630.00",0.63,,,,
IRF 4 b,2,CWW,SWS,Gedo,R1720057,Elwak,R1720103,13,"41¡50'19.45""E",Water Trucking  for the people affected by the drought,Nr of persons provided with water trucking,"11,656.50","1,665.00","11,656.50","1,665.00","11,656.50",-,-,-,-,"7,168.50","7,461.50","14,630.00",0.63,,,,
IRF 4 b,2,NRC,Puntland,Bari,R1720054,Raho Raho,R1720112,1,,Water Trucking + Hygiene promotion for the people affected by the drought,Nr of persons provided with water trucking and hygiene promotion,-,,"3,500",500,"3,500",,30 days,,,812,999,1811,52%,COMPLETED,NO,,
IRF 4 b,2,NRC,Puntland,Nugaal,R1720064,Dangorayo,R1720109,1,,water  trucking + Hygiene promotion for the people affected by the drought,Nr of persons provided with water trucking and hygiene promotion,,,"3,500",500,"3,500",,30 days,,,2459,2531,4990,143%,COMPLETED,NO,,
IRF 4 c,2,SCI,Somaliland-Puntland,Sanaag,R1720065,Badhan,R1720099,6,,Water Trucking + WASH intervention for prevention of AWD,Nr of persons provided with water trucking and hygiene promotion,"25,851","3,693","25,851","3,693","25,851",,45 days,,,0,0,0,0%,REGISTERED,YES,,
IRF 4 c,2,SCI,Somaliland-Puntland,Sanaag,R1720065,Ceel Afweyn,R1720095,22,,Water Trucking + WASH intervention for prevention of AWD,Nr of persons provided with water trucking and hygiene promotion,"25,851","3,693","25,851","3,693","25,851",,60 days,,,0,0,0,0%,NOT STARTED,YES,,
IRF 4 c,2,SCI,Somaliland-Puntland,Sanaag,R1720065,Ceerigaabo,R1720099,17,,Water trucking for drought releif,Nr of persons provided with water trucking,"25,851","3,693","25,851","3,693","25,851",,60 days,,,0,0,0,0%,NOT STARTED,YES,,
IRF 4 c,2,DRC,Puntland,Bari,R1720054,Qardho,R1720129,3,,Water Trucking + WASH intervention for prevention of AWD,Nr of persons provided with water trucking and hygiene promotion,"2,800",400,"2,800",400,"2,800",,30 days (15 per month),,,0,0,0,0%,NOT STARTED,YES,,
IRF 4 c,2,DRC,Puntland,Bari,R1720054,Bandarbeyla,R1720077,6,,Water Trucking + WASH intervention for prevention of AWD,Nr of persons provided with water trucking and hygiene promotion,"8,400","1,200","8,400","1,200","8,400",,31 days (15 per month),,,0,0,0,0%,NOT STARTED,YES,,
IRF 4 c,2,DRC,Puntland,Bari,R1720054,Iskushuban,R1720112,5,,Water Trucking + WASH intervention for prevention of AWD,Nr of persons provided with water trucking and hygiene promotion,"16,800","2,400","16,800","2,400","16,800",,32 days (15 per month),,,0,0,0,0%,NOT STARTED,YES,,
IRF 4 c,2,DRC,Puntland,Bari,R1720054,Bossaso,R1720083,5,,Water Trucking + WASH intervention for prevention of AWD,Nr of persons provided with water trucking and hygiene promotion,"7,000","1,000","7,000","1,000","7,000",,33 days (15 per month),,,0,0,0,0%,NOT STARTED,YES,,E
IRF 4 c,2,CWW,Jubaland,Gedo,R1720057,Elwak,R1720103,11,"41¡ 2'34.38""E
40¡59'54.07""E",Water Trucking  for the people affected by the drought,Nr of persons provided with water trucking,"9,842","1,406","27,755","3,965","27,755",,"40 days
",,,"23,835","3,920","27,755",100%,ONGOING,YES,,
IRF 4 c,2,CWW,Jubaland,Gedo,R1720057,Belet Xaawo,R1720080,14,,Water Trucking  for the people affected by the drought,Nr of persons provided with water trucking,"7,329","1,047","29,040","4,149","29,040",-,,-,-,"16,370","12,670","29,040",1,,,,
IRF 4 c,2,CWW,Jubaland,Gedo,R1720057,Elwak,R1720103,14,,Water Trucking  for the people affected by the drought,Nr of persons provided with water trucking,"7,329","1,047","29,040","4,149","29,040",-,,-,-,"16,370","12,670","29,040",1,,,,
IRF 4 c,2,CWW,SWS,Bay,R1720055,Baidoa,R1720074,15,0,Water Trucking  for the people affected by the drought,Nr of persons provided with water trucking,0,0,15911,2273,15911,,"Water trucking planned for 15  days. 
 IRF4B  - 1st to 15th April ",,,0,"16,000","16,000",101%,ONGOING,YES,,
IRF 4 c,2,CWW,Banadir,Banadir,R1720053,Daynile,R1720145,1,0,Latrine Construction,Nr of persons provided access to latrines,-,0,24500,3500,24500,,,,,0,0,0,0%,NOT STARTED,YES,,
IRF 4 c,2,NRC,Puntland,Bari,R1720054,Iskushuban,R1720112,5,,Water Trucking + Hygiene promotion for the people affected by the drought,Nr of persons provided with water trucking and hygiene promotion,"7,000","1,000","7,000","1,000","7,000",,30 days,,,"3,772","3,903","7,675",110%,ONGOING,YES,,
IRF 4 c,2,NRC,Somaliland-Puntland,Sanaag,R1720065,Caynabo,R1720094,5,,water  trucking + Hygiene promotion for the people affected by the drought,Nr of persons provided with water trucking and hygiene promotion,"7,000","1,000","7,000","1,000","7,000",,30 days,,,"3,329","3,583","6,912",99%,ONGOING,YES,,
IRF 4 a,3,ACF,SWS,Bakool,R1720052,Rab Dhuure,R1720131,1,,SAM treatment and nutrition mobilization,Nr of persons benefitting from nutrition outreach,600,86,600,86,,,,,,215,263,478,80%,COMPLETED,NO,,
IRF 4 a,3,CWW,SWS,Shabelle Hoose,R1720060,Afgooye,R1720070,1,,Emergency nutrition supplementation,Nr of persons benefitting from nutrition outreach,1500,214,1378,197,,,,,,1378,1493,2871,208%,COMPLETED,NO,,
IRF 4 b,3,ACF,SWS,Bakool,R1720052,Xudur,R1720141,1,,Nutrition outreach,Nr of persons benefitting from nutrition outreach,"1,200",171,"1,200",171,1200,,,,,605,595,1200,100%,COMPLETED,NO,,
IRF 4 b,3,SCI,Hir-shabelle,Hiraan,R1720058,Belet weyne,R1720079,7,,procurement of nutrition supplies (RUTF),Nr of persons benefitting from nutrition outreach,"1,000",143,"1,000",143,"1,000",,,,,123,167,290,29%,ONGOING,YES,,
IRF 4 b,3,SCI,Hir-shabelle,Hiraan,R1720058,Matabaan,R1720079,8,,procurement of nutrition supplies (RUTF),Nr of persons benefitting from nutrition outreach,"1,000",143,"1,000",143,"1,000",,,,,102,156,258,26%,ONGOING,YES,,
IRF 4 b,3,SCI,SWS,Bakool,R1720052,Xudur,R1720141,1,,procurement of nutrition supplies (RUTF),Nr of persons benefitting from nutrition outreach,400,57,400,57,400,,,,,34,44,78,20%,ONGOING,YES,,
IRF 4 b,3,SCI,SWS,Bakool,R1720052,waajid,R1720137,1,,procurement of nutrition supplies (RUTF),Nr of persons benefitting from nutrition outreach,400,57,400,57,400,,,,,22,28,50,13%,ONGOING,YES,,
IRF 4 b,3,CWW,SWS,Shabelle Hoose,R1720060,Afgooye,R1720070,1,,procurement of nutrition supplies,Nr of persons benefitting from nutrition outreach,"2,088",298,"2,088","2,088","2,088",,,,,992,220,1212,58%,ONGOING,YES,,
IRF 4 a,4,Cesvi,Hir-shabelle,Hiraan,R1720058,Belet weyne,R1720079,5,,Post flood relief items distribution,Nr of persons provided with NFIs,"3,290",1612,3290,1612,,,,APRIL,,1612,1678,3290,100%,COMPLETED,NO,,
IRF 4 a,5,ACF,SWS,Bakool,R1720052,Rab Dhuure,R1720131,1,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,2100,300,2100,300,,,,,,995,1208,2203,105%,COMPLETED,NO,,
IRF 4 a,5,Cesvi,Hir-shabelle,Hiraan,R1720058,Belet weyne,R1720079,1,,UCT for FS / post flood relief,Nr of persons provided with UCTs,700,100,1050,150,,,,APRIL,,504,546,1050,100%,COMPLETED,NO,,
IRF 4 a,5,Cesvi,Galmudug,Mudug,R1720063,Gaalkacyo,R1720107,5,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,3500,500,2240,320,,,,APRIL,,1152,1200,2352,105%,COMPLETED,NO,,
IRF 4 a,5,CWW,Somaliland,Awdal,R1720051,Zeylac,R1720142,4,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,2520,360,2196,314,,,,,,2459,2665,5124,233%,COMPLETED,NO,,
IRF 4 a,5,CWW,SWS,Gedo,R1720057,Elwak,R1720103,1,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,900,129,900,129,,,,,,432,468,900,100%,COMPLETED,NO,,
IRF 4 a,5,CWW,SWS,Gedo,R1720057,Elwak,R1720103,1,,Social Safety Net(SNN),Nr of persons provided with UCTs,0,0,900,129,,,,,,432,468,900,100%,COMPLETED,NO,,
IRF 4 a,5,CWW,SWS,Shabelle Hoose,R1720060,Afgooye,R1720070,1,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,2400,343,2400,343,,,,,,1152,1248,2400,100%,COMPLETED,NO,,
IRF 4 a,5,CWW,SWS,Shabelle Hoose,R1720060,Wanla weyn,R1720138,1,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,0,0,1200,171,,,,,,576,624,1200,100%,COMPLETED,NO,,
IRF 4 a,5,IRC,Puntland,Nugaal,R1720064,Dangorayo,R1720109,3,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,980,140,980,140,,,,,,721,758,1479,151%,COMPLETED,NO,,
IRF 4 a,5,IRC,Puntland,Nugaal,R1720064,Garoowe,R1720109,4,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,2100,300,2100,300,,,,,,1206,1300,2506,119%,COMPLETED,NO,,
IRF 4 a,5,IRC,Puntland,Bari,R1720054,Qardho,R1720129,6,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,2100,300,2100,300,,,,,,1056,1154,2210,105%,COMPLETED,NO,,
IRF 4 a,5,IRC,Somaliland-Puntland,Sanaag,R1720065,Dhahar,R1720095,2,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,2100,300,2100,300,,,,,,1035,1013,2048,98%,COMPLETED,NO,,
IRF 4 a,5,NRC,Jubaland,Juba Hoose,R1720059,Kismaayo,R1720118,6,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,1995,285,1995,285,,,,,,378,1617,1995,100%,COMPLETED,NO,,
IRF 4 a,5,NRC,Jubaland,Juba Hoose,R1720059,Kismaayo,R1720118,1,,Donkey cart distribution,Nr of persons provided with donkey carts,210,30,210,30,,,,,,168,42,210,100%,COMPLETED,NO,,
IRF 4 a,5,NRC,Puntland,Nugaal,R1720064,Dangorayo,R1720109,1,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,2400,343,2400,343,,,,,,1056,1582,2638,110%,COMPLETED,NO,,
IRF 4 a,5,NRC,Puntland,Bari,R1720054,Raho Raho,R1720112,1,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,1440,206,1680,240,,,,,,672,1008,1680,100%,COMPLETED,NO,,
IRF 4 a,5,NRC,Somaliland,Awdal,R1720051,Lughaye,R1720122,2,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,2820,403,2820,403,,,,,,840,2268,3108,110%,COMPLETED,NO,,
IRF 4 a,5,NRC,SWS,Gedo,R1720057,doolow,R1720102,4,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,0,0,1400,200,,,,,,651,749,1400,100%,COMPLETED,NO,,
IRF 4 a,5,NRC,SWS,Gedo,R1720057,doolow,R1720102,4,,Donkey cart distribution for drought preparedness,Nr of persons provided with donkey carts,0,0,525,75,,,,,,364,161,525,100%,COMPLETED,NO,,
IRF 4 a,5,SCI,Puntland,Bari,R1720054,Qardho,R1720129,3,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,960,137,870,124,,,,,,482,506,988,114%,COMPLETED,NO,,
IRF 4 a,5,SCI,Somaliland,Awdal,R1720051,Zeylac,R1720142,8,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,2400,343,2400,343,,,,,,1288,1282,2570,107%,COMPLETED,NO,,
IRF 4 b,5,ACF,SWS,Bakool,R1720052,waajid,R1720137,1,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,4200,600,6000,1000,6000,,,,,0,0,0,0%,NOT STARTED,YES,,
IRF 4 b,5,ACF,Puntland,Nugaal,R1720064,Eyl,R1720104,1,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"6,510",930,"3,710",530,3710,,,,,"1,872",1838,3710,100%,COMPLETED,NO,,
IRF 4 b,5,Cesvi,Galmudug,mudug,R1720063,Gaalkacyo,R1720107,4,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"6,650",950,"6,650",950,,3,,APRIL,100 USD,0,0,0,0%,NOT STARTED,YES,,
IRF 4 b,5,Cesvi,Galmudug,mudug,R1720063,Hobyo,R1720111,7,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"1,750",250,"1,750",250,,3,,APRIL,100 USD,0,0,0,0%,NOT STARTED,YES,,
IRF 4 b,5,Cesvi,Galmudug,Mudug,R1720063,Hobyo,R1720111,2,,Animal Campaign through CAHW,Nr of persons targeted with CAHW campaign,"1,750",250,"1,750",250,,,,APRIL,,0,0,0,0%,NOT STARTED,YES,,
IRF 4 b,5,CWW,Somaliland,Awdal,R1720051,Borama,R1720082,3,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"2,800",400,"2,800",400,"2,800",3 installments of cash,,,65 USD,1372,1428,2800,100%,3RDINSTALMENT,YES,,
IRF 4 b,5,SCI,Puntland,Bari,R1720054,Iskushuban,R1720112,1,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"2,660",380,"1,080",154,"1,080",,,,,166,224,390,36%,2ND INSTALMENT,YES,,
IRF 4 b,5,SCI,Puntland,Nugaal,R1720064,Dangorayo,R1720109,2,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,-,,"1,200",171,"1,200",,,,,562,368,930,78%,2ND INSTALMENT,YES,,
IRF 4 b,5,SCI,Somaliland,Togdheer,R1720067,Burco,R1720086,7,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"2,450",350,"2,100",300,"2,100",,,,,1500,1379,2879,137%,2ND INSTALMENT,YES,,
IRF 4 b,5,SCI,Somaliland-Puntland,Sool,R1720066,caynabo,R1720094,6,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"2,450",350,"2,100",300,"2,100",,,,,"1,105",1162,2267,108%,2ND INSTALMENT,YES,,
IRF 4 b,5,SCI,Hir-shabelle,Hiraan,R1720058,Belet weyne,R1720079,6,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"2,800",400,"2,400",343,"2,400",,,,,1622,1651,3273,136%,2ND INSTALMENT,YES,,
IRF 4 b,5,SCI,Hir-shabelle,Hiraan,R1720058,Matabaan,R1720079,4,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"1,750",250,"1,500",214,"1,500",,,,,1017,958,1975,132%,2ND INSTALMENT,YES,,
IRF 4 b,5,CWW,Somaliland,Togdheer,R1720067,Burco,R1720086,5,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"3,850",550,"3,850",550,"3,850",3 installments of cash,,,65 USD,1848,2002,3850,100%,3RDINSTALMENT,YES,,
IRF 4 b,5,CWW,SWS,Gedo,R1720057,Belet Xaawo,R1720080,8,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"11,242","1,606","11,242","1,606","11,242",3 installments of cash,,,60 USD,5509,5733,11242,100%,3RDINSTALMENT,YES,,
IRF 4 b,5,CWW,SWS,Shabelle Hoose,R1720060,Afgooye,R1720070,5,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"2,800",400,"2,800",400,"2,800",3 installments of cash,,,50 USD,1372,1428,2800,100%,3RDINSTALMENT,YES,,
IRF 4 b,5,CWW,SWS,Shabelle Hoose,R1720060,Wanla Weyn,R1720138,3,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"1,400",200,"1,400",200,"1,400",3 installments of cash,,,50 USD,686,826,1512,108%,3RDINSTALMENT,YES,,
IRF 4 b,5,IRC,Somaliland-Puntland,Sanaag,R1720065,Dhahar,R1720095,3,Dhahar: 48.81988; Kaladhac: 48.90777,Emergency food security and livelihood services,Nr of persons provided with UCTs,"2,100",300,"2,100",300,"2,100",One istallment,,,150 USD,735,1365,2100,100%,1ST INSTALMENT,YES,,
IRF 4 b,5,IRC,Somaliland-Puntland,sanaag,R1720065,Badhan,R1720099,5,,Emergency food security and livelihood services,Nr of persons provided with UCTs,"2,100",300,"2,100",300,"2,100",One istallment,,,150 USD,357,1743,2100,100%,1ST INSTALMENT,YES,,
IRF 4 b,5,IRC,Somaliland-Puntland,Sool,R1720066,Xudun,R1720140,3,Hudun: 47.475393; Holhol: 47.73481; Carooley: 48.14656,Emergency food security and livelihood services,Nr of persons provided with UCTs,"2,100",300,"2,100",300,"2,100",One istallment,,,150 USD,525,1575,2100,100%,1ST INSTALMENT,YES,,
IRF 4 b,5,IRC,Puntland,Bari,R1720054,Qardho,R1720129,5,Gerihel: 49.4189; Libaaxar: 49.19746,Emergency food security and livelihood services,Nr of persons provided with UCTs,"2,590",370,"2,590",370,"2,100",One istallment,,,150 USD,1169,1421,2590,100%,1ST INSTALMENT,YES,,
IRF 4 b,5,NRC,Jubaland,Bay,R1720055,Kismaayo,R1720118,7,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"2,100",300,"2,100",300,"2,100",4 cash installments,,,,322,1778,2100,100%,2ND INSTALMENT,YES,,
IRF 4 b,5,NRC,SWS,Gedo,R1720057,doolow,R1720102,5,,Unconditional cash transfer to most vulnerable drought affected HHÕs,Nr of persons provided with UCTs,"1,050",150,"1,050",150,"1,050",4 cash installments,-,-,-,476,574,"1,050",50%,2ND INSTALMENT,YES,,
